response_label,period,driver_label,n_cells,n_supported_negative,n_supported_positive,percent_supported_negative,percent_supported_positive,local_t_q05,local_t_q25,local_t_median,local_t_q75,local_t_q95,coefficient_q05,coefficient_median,coefficient_q95,base_y,y_period
Predicted richness,1970s,Temperature,1776,0,567,0,31.925675675675677,-1.1565690484650566,-0.25449845447910546,0.6023857070194991,2.4327362475751206,4.074004380342012,-1.1508613324518369,0.6434214252160338,4.663103275264875,8,7.78
Predicted richness,1970s,Precipitation,1776,1023,68,57.601351351351354,3.828828828828829,-7.133019877198399,-4.018239877943212,-2.3623339628266375,-1.0868756536812016,1.6839123708466008,-6.884526221524287,-2.546999171279378,2.7008868715323047,7,6.78
Predicted richness,1970s,Land-use heterogeneity,1776,3,542,0.16891891891891891,30.51801801801802,-0.7931506425365363,0.23744709714967308,1.251970624989069,2.232041750776621,3.3203763280170735,-0.9706573211409519,1.323272998090454,4.174023249069352,6,5.78
Predicted richness,1970s,Urban (% coverage),1776,0,825,0,46.4527027027027,-0.7501279380722927,0.6664722328213222,1.836680136686729,3.1643487633473013,5.002350113202375,-0.5275154041433573,1.2967376429747821,4.927769050931466,5,4.78
Predicted richness,1970s,Cropland (% coverage),1776,0,550,0,30.96846846846847,-0.388108162258612,0.28073917979686314,1.0296293501198355,2.210829101010649,2.9115669656145218,-0.5090324345481924,1.3409133350031692,3.985224751426956,4,3.78
Predicted richness,1970s,Pasture (% coverage),1776,0,387,0,21.79054054054054,-0.33664078272684916,0.19706273115050207,1.0699537438532212,1.8313724246480372,3.197880769140763,-0.3074672706201569,1.0108273714065608,2.9364072564198755,3,2.78
Predicted richness,1970s,Forest (% coverage),1776,0,1650,0,92.9054054054054,1.6819087372561135,2.7677273109225813,3.8774667481203964,5.047075879607873,5.932512599919544,1.3328607985070984,3.85947411580047,6.9350696334257425,2,1.78
Predicted richness,1970s,Grass/Shrubland (% coverage),1776,13,469,0.7319819819819819,26.40765765765766,-1.540842256375389,-0.016427521443155884,0.981278607496445,2.016075737012766,3.097050316064565,-1.567386317413026,0.7292902706295753,2.6931388502420255,1,0.78
Predicted richness,1990s,Temperature,1850,0,563,0,30.43243243243243,-0.13198364080564817,0.2318598819471875,0.9616370601085559,2.144536291868947,3.739749672935738,-0.0868889532110039,1.0248384516188211,7.659170110091916,8,8
Predicted richness,1990s,Precipitation,1850,1072,81,57.945945945945944,4.378378378378378,-6.843503526086007,-3.9794145711705027,-2.430054622487664,-0.5300665617615158,1.8539972216418805,-5.681024681302242,-2.0031278772260874,2.519485891968614,7,7
Predicted richness,1990s,Land-use heterogeneity,1850,0,1742,0,94.16216216216216,1.8145113570394402,2.953774824209951,3.6108475653555,4.069391717351108,4.680532434767297,2.1408993339576092,3.3337729189427208,5.12645229225053,6,6
Predicted richness,1990s,Urban (% coverage),1850,0,891,0,48.16216216216216,0.609150367350559,1.2896409618087195,1.8849377331541057,3.3525666608035958,4.937445501843635,0.5080507824037568,1.4759377375823717,4.21264670007617,5,5
Predicted richness,1990s,Cropland (% coverage),1850,0,507,0,27.405405405405407,0.2904662805342816,0.9490164706004992,1.4593879883651235,2.0457202038588145,3.910507876843931,0.3891814774653837,1.6677348645495627,4.799248773720562,4,4
Predicted richness,1990s,Pasture (% coverage),1850,0,363,0,19.62162162162162,-0.4685071589223756,0.13269670933955768,0.7316468437042531,1.7163266949541236,2.893846009983279,-0.3407855445497918,0.5509123073719331,2.9965821181330914,3,3
Predicted richness,1990s,Forest (% coverage),1850,0,1813,0,98,2.6284075931527258,4.376521002202444,4.998354140585888,5.491039981833907,6.823300310330232,3.067005629213945,4.190580206222675,6.960078500438565,2,2
Predicted richness,1990s,Grass/Shrubland (% coverage),1850,0,318,0,17.18918918918919,-0.23968698297394103,0.494566276273379,1.5088064918922113,1.8271529819427434,2.5788217586726443,-0.14090501129378183,1.1619197937042416,2.0962447140975176,1,1
